mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3
19	18	52	52	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	87				
19	18	53	53	0.0	1/4	1/4	FiguredBass	3/4	2	1	0				1/8	6		
19	18	53	53	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	88				
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	89				
19	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	90				
20	19	55	55	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	91				
20	19	57	57	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	92				
20	19	55	55	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	93				
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	94				
21	20	58	58	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	95				
21	20	58	58	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	96				
