piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	SID	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_RE1755-021	1: 4/4	1: -1	10	10	40.0	10	10	40.0	72.0	70	37	0	0	0		1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Jesu, werther Gnaden Thron						2022-06-21	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Jesu, werther Gnaden Thron	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-021.mscx	False	41-74 (F2-D5)	Piano	65-74 (F4-D5)	Piano	41-57 (F2-A3)
A-MCAU_RE1755-022_SID039	1: 4/4	1: -1	11	11	44.0	11	11	44.0	76.0	70	37	0	0	0	39	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach komm, du süßer Lebens-Saft						2021-03-03	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach komm, du süßer Lebens-Saft	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-022_SID039.mscx	False	41-74 (F2-D5)	Piano	65-74 (F4-D5)	Piano	41-53 (F2-F3)
A-MCAU_RE1755-023_SID046	1: 4/4	1: -2	31	31	124.0	31	31	124.0	224.0	205	111	0	0	0	46	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach lieber Mensch, erkenne recht						2023-07-24	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach lieber Mensch, erkenne recht	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-023_SID046.mscx	False	41-74 (F2-D5)	Piano	65-74 (F4-D5)	Piano	41-55 (F2-G3)
A-MCAU_RE1755-024_SID088	1: 4/4	1: -2	10	10	40.0	15	15	60.0	76.0	68	37	0	0	0	88	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach mein Jesu! welch Verderben						2022-04-06	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach mein Jesu! welch Verderben	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-024_SID088.mscx	False	38-77 (D2-F5)	Piano	66-77 (F#4-F5)	Piano	38-58 (D2-Bb3)
A-MCAU_RE1755-025	1: 3/4	1: 2	17	17	48.0	17	17	48.0	96.0	84	45	0	0	0		1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach Liebster! Zeuch mich von der Erden						2022-06-21	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach Liebster! Zeuch mich von der Erden	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-025.mscx	False	38-74 (D2-D5)	Piano	62-74 (D4-D5)	Piano	38-50 (D2-D3)
A-MCAU_RE1755-026_SID026	1: 4/4	1: 1	13	13	52.0	18	18	72.0	90.0	85	47	0	0	0	26	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach! meine Seel kan ihre Ruh						2021-02-21	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach! meine Seel kan ihre Ruh	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-026_SID026.mscx	False	43-74 (G2-D5)	Piano	62-74 (D4-D5)	Piano	43-55 (G2-G3)
A-MCAU_RE1755-027_SID089	1: 4/4	1: 1	9	9	36.0	14	14	56.0	68.0	62	33	0	0	0	89	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach mein Hertze; gieb dich drein						2021-11-30	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach mein Hertze; gieb dich drein	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-027_SID089.mscx	False	43-76 (G2-E5)	Piano	67-76 (G4-E5)	Piano	43-57 (G2-A3)
A-MCAU_RE1755-028	1: 4/4	1: 0	22	22	88.0	22	22	88.0	156.0	154	81	0	0	0		1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach! möcht' ich meinen Jesum sehen						2023-07-24	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach! möcht' ich meinen Jesum sehen	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-028.mscx	False	40-76 (E2-E5)	Piano	60-76 (C4-E5)	Piano	40-57 (E2-A3)
A-MCAU_RE1755-029_SID042	1: 4/4	1: 1	13	13	52.0	13	13	52.0	90.0	85	45	0	0	0	42	1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach! traure nicht, mein Herz und Sinn						2021-03-10	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach! traure nicht, mein Herz und Sinn	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-029_SID042.mscx	False	40-76 (E2-E5)	Piano	63-76 (D#4-E5)	Piano	40-59 (E2-B3)
A-MCAU_RE1755-030	1: 3/4	1: 1	12	12	36.0	12	12	36.0	72.0	73	40	0	0	0		1755	1755	Johann Balthasar Rein	Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind		Ach treib aus meiner Seel						2022-07-28	Microsoft Windows			Vierstimmig Choralbuch, worinnen alle Melodien, des Schleswig-Hollsteinischen Gesangbuchs, enthalten sind	Ach treib aus meiner Seel	Johann Balthasar Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-030.mscx	False	40-76 (E2-E5)	Piano	64-76 (E4-E5)	Piano	40-59 (E2-B3)
